match_number,season,city,venue,date,team1,team2,winner,match_type,gender,inning,batting_team,over,batter,bowler,non_striker,run_batter,run_extras,run_total,wicket,wicket_kind
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,0,Abhishek Sharma,JC Archer,TM Head,0,0,0,Yes,caught
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,0,Ishan Kishan,JC Archer,TM Head,0,0,0,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,0,Ishan Kishan,JC Archer,TM Head,0,0,0,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,0,Ishan Kishan,JC Archer,TM Head,2,0,2,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,0,Ishan Kishan,JC Archer,TM Head,0,0,0,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,0,Ishan Kishan,JC Archer,TM Head,0,0,0,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,1,TM Head,N Burger,Ishan Kishan,0,0,0,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,1,TM Head,N Burger,Ishan Kishan,0,0,0,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,1,TM Head,N Burger,Ishan Kishan,0,0,0,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,1,TM Head,N Burger,Ishan Kishan,4,0,4,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,1,TM Head,N Burger,Ishan Kishan,0,0,0,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,1,TM Head,N Burger,Ishan Kishan,0,0,0,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,2,Ishan Kishan,JC Archer,TM Head,0,0,0,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,2,Ishan Kishan,JC Archer,TM Head,4,0,4,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,2,Ishan Kishan,JC Archer,TM Head,0,0,0,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,2,Ishan Kishan,JC Archer,TM Head,6,0,6,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,2,Ishan Kishan,JC Archer,TM Head,0,0,0,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,2,Ishan Kishan,JC Archer,TM Head,0,0,0,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,3,TM Head,N Burger,Ishan Kishan,4,0,4,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,3,TM Head,N Burger,Ishan Kishan,1,0,1,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,3,Ishan Kishan,N Burger,TM Head,6,0,6,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,3,Ishan Kishan,N Burger,TM Head,1,0,1,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,3,TM Head,N Burger,Ishan Kishan,0,0,0,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,3,TM Head,N Burger,Ishan Kishan,0,0,0,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,4,Ishan Kishan,Sandeep Sharma,TM Head,0,0,0,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,4,Ishan Kishan,Sandeep Sharma,TM Head,2,0,2,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,4,Ishan Kishan,Sandeep Sharma,TM Head,2,0,2,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,4,Ishan Kishan,Sandeep Sharma,TM Head,6,0,6,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,4,Ishan Kishan,Sandeep Sharma,TM Head,1,0,1,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,4,TM Head,Sandeep Sharma,Ishan Kishan,1,0,1,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,5,TM Head,TU Deshpande,Ishan Kishan,1,0,1,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,5,Ishan Kishan,TU Deshpande,TM Head,4,0,4,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,5,Ishan Kishan,TU Deshpande,TM Head,1,0,1,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,5,TM Head,TU Deshpande,Ishan Kishan,0,0,0,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,5,TM Head,TU Deshpande,Ishan Kishan,4,0,4,No,
21,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026-04-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,T20,male,1,Sunrisers Hyderabad,5,TM Head,TU Deshpande,Ishan Kishan,1,0,1,No,
22,2026,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2026-04-14,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,T20,male,1,Chennai Super Kings,0,SV Samson,VG Arora,RD Gaikwad,4,0,4,No,
22,2026,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2026-04-14,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,T20,male,1,Chennai Super Kings,0,SV Samson,VG Arora,RD Gaikwad,4,0,4,No,
22,2026,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2026-04-14,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,T20,male,1,Chennai Super Kings,0,SV Samson,VG Arora,RD Gaikwad,4,0,4,No,
22,2026,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2026-04-14,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,T20,male,1,Chennai Super Kings,0,SV Samson,VG Arora,RD Gaikwad,1,0,1,No,
