batter,total_balls_faced,total_matches,total_runs,total_dismissals,run_rate,strike_rate,avg_runs_per_ball,std_dev_runs_per_ball,dismissal_rate_per_100,boundary_percentage,dot_ball_percentage,avg_runs_on_dismissal,consistency_score,powerplay_balls_faced,powerplay_total_runs,powerplay_dismissals,powerplay_run_rate,powerplay_strike_rate,powerplay_avg_runs_per_ball,powerplay_std_dev_runs_per_ball,powerplay_dismissal_rate_per_100,powerplay_boundary_percentage,powerplay_dot_ball_percentage,powerplay_consistency_score
V Kohli,1800,62,2475,55,1.375,137.5,1.375,1.624,3.06,17.72,32.78,2.05,31.61,849,1200,21,1.413,141.34,1.413,1.724,2.47,21.67,39.46,28.57
Shubman Gill,1761,62,2558,56,1.453,145.26,1.453,1.644,3.18,18.91,30.55,2.09,32.97,804,1073,23,1.335,133.46,1.335,1.645,2.86,20.27,40.05,29.54
JC Buttler,1572,58,2268,53,1.443,144.27,1.443,1.783,3.37,20.8,38.23,2.34,27.03,686,889,22,1.296,129.59,1.296,1.816,3.21,20.85,50.29,20.9
KL Rahul,1547,53,2049,46,1.324,132.45,1.324,1.622,2.97,16.81,34.71,2.03,30.22,691,826,16,1.195,119.54,1.195,1.645,2.32,17.37,45.59,25.08
YBK Jaiswal,1351,56,2047,50,1.515,151.52,1.515,1.857,3.7,24.57,40.04,2.53,26.18,801,1277,24,1.594,159.43,1.594,1.99,3.0,29.21,46.94,23.28
B Sai Sudharsan,1345,43,1891,38,1.406,140.59,1.406,1.611,2.83,18.74,31.67,2.06,33.04,559,728,8,1.302,130.23,1.302,1.633,1.43,19.86,41.68,29.07
F du Plessis,1306,54,1838,54,1.407,140.74,1.407,1.721,4.13,19.3,35.83,2.19,28.51,725,994,25,1.371,137.1,1.371,1.814,3.45,22.34,45.38,23.51
RD Gaikwad,1254,51,1704,46,1.359,135.89,1.359,1.66,3.67,17.62,35.57,2.11,29.63,670,879,21,1.312,131.19,1.312,1.689,3.13,19.85,43.28,26.96
SA Yadav,1249,54,2043,46,1.636,163.57,1.636,1.871,3.68,24.18,32.83,2.44,29.03,194,268,4,1.381,138.14,1.381,1.801,2.06,21.13,45.36,24.39
Ishan Kishan,1199,59,1641,55,1.369,136.86,1.369,1.734,4.59,20.27,39.7,2.27,26.78,681,905,23,1.329,132.89,1.329,1.798,3.38,21.88,47.43,22.8
SV Samson,1153,58,1658,51,1.438,143.8,1.438,1.814,4.42,20.21,37.21,2.29,25.6,379,526,11,1.388,138.79,1.388,1.847,2.9,24.01,48.55,22.64
RG Sharma,1149,62,1553,60,1.352,135.16,1.352,1.848,5.22,21.06,45.95,2.5,21.4,781,1054,38,1.35,134.96,1.35,1.927,4.87,22.02,51.22,18.0
Tilak Varma,1116,54,1533,41,1.374,137.37,1.374,1.704,3.67,17.29,34.77,2.11,28.19,134,164,5,1.224,122.39,1.224,1.689,3.73,17.16,44.78,24.06
S Dube,1068,56,1529,44,1.432,143.16,1.432,1.851,4.12,18.16,36.7,2.26,23.9,13,14,0,1.077,107.69,1.077,1.441,0.0,15.38,46.15,30.61
N Pooran,1043,58,1696,40,1.626,162.61,1.626,2.009,3.84,23.59,36.53,2.56,23.49,91,143,4,1.571,157.14,1.571,2.161,4.4,27.47,51.65,15.96
Abhishek Sharma,1020,57,1630,56,1.598,159.8,1.598,1.957,5.49,25.0,39.51,2.64,24.67,666,1013,30,1.521,152.1,1.521,1.93,4.5,25.68,44.89,23.43
AK Markram,1005,51,1350,43,1.343,134.33,1.343,1.621,4.28,16.12,32.14,1.98,30.82,315,413,11,1.311,131.11,1.311,1.75,3.49,20.63,45.71,24.28
SS Iyer,962,47,1424,36,1.48,148.02,1.48,1.765,3.74,19.85,32.95,2.21,28.86,218,283,9,1.298,129.82,1.298,1.64,4.13,20.64,44.95,28.64
HH Pandya,960,57,1300,44,1.354,135.42,1.354,1.643,4.58,17.29,34.27,2.06,30.2,142,150,5,1.056,105.63,1.056,1.458,3.52,16.9,52.11,29.12
H Klaasen,952,42,1559,34,1.638,163.76,1.638,1.831,3.57,20.59,26.16,2.22,30.58,58,80,1,1.379,137.93,1.379,1.853,1.72,20.69,44.83,22.13
P Simran Singh,908,49,1385,49,1.525,152.53,1.525,1.912,5.4,24.01,40.75,2.57,24.28,600,881,25,1.468,146.83,1.468,1.898,4.17,24.83,45.83,23.11
R Parag,884,52,1273,44,1.44,144.0,1.44,1.826,4.98,18.55,35.86,2.25,25.17,88,132,3,1.5,150.0,1.5,2.068,3.41,26.14,48.86,17.29
AM Rahane,859,45,1174,43,1.367,136.67,1.367,1.704,5.01,17.93,36.79,2.16,28.0,438,652,13,1.489,148.86,1.489,1.902,2.97,23.74,43.38,23.56
DA Miller,846,50,1165,30,1.377,137.71,1.377,1.65,3.55,16.67,32.03,2.03,30.58,23,22,1,0.957,95.65,0.957,1.522,4.35,17.39,60.87,22.21
DA Warner,837,34,1116,30,1.333,133.33,1.333,1.706,3.58,20.67,42.29,2.31,26.9,458,648,14,1.415,141.48,1.415,1.882,3.06,25.76,50.22,22.05
D Padikkal,812,47,1033,46,1.272,127.22,1.272,1.687,5.67,18.35,42.24,2.2,25.77,276,339,14,1.228,122.83,1.228,1.779,5.07,20.29,52.17,20.15
VR Iyer,808,46,1098,41,1.359,135.89,1.359,1.747,5.07,18.56,40.1,2.27,25.96,300,380,16,1.267,126.67,1.267,1.829,5.33,20.67,52.67,19.29
RR Pant,798,41,1130,35,1.416,141.6,1.416,1.796,4.39,20.18,38.35,2.3,25.68,118,139,2,1.178,117.8,1.178,1.747,1.69,20.34,53.39,19.77
S Dhawan,795,30,985,27,1.239,123.9,1.239,1.613,3.4,17.86,42.39,2.15,27.98,420,494,15,1.176,117.62,1.176,1.65,3.57,18.81,50.24,24.17
DP Conway,794,28,1080,25,1.36,136.02,1.36,1.646,3.15,19.02,36.27,2.13,30.25,374,463,11,1.238,123.8,1.238,1.637,2.94,19.25,45.72,26.84
MR Marsh,772,36,1116,35,1.446,144.56,1.446,1.868,4.53,21.11,40.03,2.41,23.61,385,547,15,1.421,142.08,1.421,1.928,3.9,22.08,46.23,20.34
Q de Kock,770,38,1053,37,1.368,136.75,1.368,1.754,4.81,18.96,38.7,2.23,25.9,427,554,24,1.297,129.74,1.297,1.818,5.62,19.67,47.54,20.89
N Rana,768,44,1053,41,1.371,137.11,1.371,1.809,5.34,20.31,42.19,2.37,23.69,223,288,8,1.291,129.15,1.291,1.913,3.59,23.32,57.4,16.54
MP Stoinis,765,52,1121,40,1.465,146.54,1.465,1.885,5.23,20.26,38.43,2.38,23.55,149,194,6,1.302,130.2,1.302,1.8,4.03,22.15,51.68,21.82
RK Singh,762,45,1090,31,1.43,143.04,1.43,1.761,4.07,18.9,35.3,2.21,27.53,27,36,0,1.333,133.33,1.333,1.922,0.0,22.22,48.15,17.65
A Badoni,752,48,975,38,1.297,129.65,1.297,1.59,5.05,14.89,35.24,2.0,30.76,50,29,3,0.58,58.0,0.58,1.197,6.0,6.0,68.0,24.26
RM Patidar,729,36,1119,33,1.535,153.5,1.535,1.898,4.53,20.58,34.43,2.34,25.14,151,186,1,1.232,123.18,1.232,1.663,0.66,20.53,47.68,25.48
AR Patel,697,48,965,34,1.385,138.45,1.385,1.744,4.88,17.93,36.01,2.16,26.86,52,60,3,1.154,115.38,1.154,1.552,5.77,17.31,46.15,27.96
SO Hetmyer,697,52,995,35,1.428,142.75,1.428,1.834,5.02,17.93,37.45,2.28,24.46,10,13,2,1.3,130.0,1.3,2.058,20.0,20.0,50.0,10.54
WP Saha,683,37,824,34,1.206,120.64,1.206,1.576,4.98,18.01,43.19,2.12,28.57,495,629,24,1.271,127.07,1.271,1.724,4.85,21.41,48.48,24.09
RA Jadeja,671,48,881,31,1.313,131.3,1.313,1.539,4.62,14.46,30.55,1.89,33.48,43,52,3,1.209,120.93,1.209,1.684,6.98,20.93,51.16,23.77
RA Tripathi,666,38,906,34,1.36,136.04,1.36,1.724,5.11,19.52,39.04,2.23,26.98,282,372,16,1.319,131.91,1.319,1.791,5.67,21.99,47.87,22.78
PD Salt,661,36,1110,34,1.679,167.93,1.679,1.977,5.14,27.99,38.73,2.74,26.21,452,749,21,1.657,165.71,1.657,2.0,4.65,29.2,43.14,24.73
JM Sharma,657,48,991,40,1.508,150.84,1.508,1.9,6.09,21.16,38.05,2.43,24.25,23,13,3,0.565,56.52,0.565,1.161,13.04,8.7,69.57,25.83
LS Livingstone,629,39,953,33,1.515,151.51,1.515,1.956,5.25,20.83,37.84,2.44,22.22,92,115,6,1.25,125.0,1.25,1.885,6.52,20.65,56.52,16.23
AD Russell,614,45,951,35,1.549,154.89,1.549,2.112,5.7,23.94,47.23,2.94,17.14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM Head,595,30,1005,30,1.689,168.91,1.689,1.979,5.04,29.08,38.66,2.75,26.42,403,718,17,1.782,178.16,1.782,2.052,4.22,33.0,41.69,26.23
DJ Hooda,583,40,711,38,1.22,121.96,1.22,1.522,6.52,13.89,36.02,1.91,31.44,140,151,7,1.079,107.86,1.079,1.541,5.0,15.71,50.71,25.86
TH David,558,45,931,25,1.668,166.85,1.668,2.005,4.48,22.76,34.41,2.54,24.85,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N Wadhera,537,33,732,28,1.363,136.31,1.363,1.787,5.21,18.62,39.66,2.26,24.37,46,51,1,1.109,110.87,1.109,1.729,2.17,15.22,50.0,18.03
SM Curran,531,30,660,26,1.243,124.29,1.243,1.549,4.9,14.69,36.16,1.95,30.94,81,79,3,0.975,97.53,0.975,1.351,3.7,12.35,45.68,31.62
SP Narine,526,46,838,39,1.593,159.32,1.593,2.121,7.41,27.38,49.05,3.13,18.22,316,491,15,1.554,155.38,1.554,2.107,4.75,27.85,52.22,17.51
KH Pandya,523,45,613,32,1.172,117.21,1.172,1.497,6.12,12.81,40.34,1.96,31.06,53,51,3,0.962,96.23,0.962,1.454,5.66,15.09,58.49,25.91
Shashank Singh,522,35,791,19,1.515,151.53,1.515,1.787,3.64,19.35,31.03,2.2,28.94,28,34,1,1.214,121.43,1.214,1.572,3.57,21.43,46.43,29.01
Dhruv Jurel,514,38,775,25,1.508,150.78,1.508,1.812,4.86,20.04,32.68,2.24,27.74,16,25,1,1.562,156.25,1.562,1.931,6.25,25.0,43.75,24.64
MA Agarwal,510,30,625,29,1.225,122.55,1.225,1.554,5.69,16.67,40.59,2.06,30.18,314,375,13,1.194,119.43,1.194,1.62,4.14,18.15,47.77,26.18
GJ Maxwell,509,42,801,37,1.574,157.37,1.574,1.95,7.27,23.58,38.9,2.58,24.22,97,161,5,1.66,165.98,1.66,1.978,5.15,29.9,42.27,25.62
MS Dhoni,497,48,693,24,1.394,139.44,1.394,1.865,4.83,19.11,40.85,2.36,22.12,7,6,0,0.857,85.71,0.857,1.574,0.0,14.29,71.43,15.27
KD Karthik,489,42,796,27,1.628,162.78,1.628,1.939,5.52,23.72,34.56,2.49,26.22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C Green,487,31,731,22,1.501,150.1,1.501,1.735,4.52,19.92,30.18,2.15,30.61,128,198,5,1.547,154.69,1.547,1.818,3.91,26.56,39.06,28.62
T Stubbs,485,33,760,17,1.567,156.7,1.567,1.75,3.51,19.18,25.15,2.09,31.81,17,23,1,1.353,135.29,1.353,1.935,5.88,23.53,52.94,17.78
Abishek Porel,454,29,661,29,1.456,145.59,1.456,1.737,6.39,20.26,34.14,2.21,29.28,214,307,12,1.435,143.46,1.435,1.816,5.61,23.36,42.52,25.4
Nithish Kumar Reddy,446,25,581,21,1.303,130.27,1.303,1.688,4.71,15.47,36.32,2.05,26.69,84,71,4,0.845,84.52,0.845,1.393,4.76,8.33,54.76,24.52
R Tewatia,438,45,615,26,1.404,140.41,1.404,1.762,5.94,19.63,37.67,2.25,26.69,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shahbaz Ahmed,435,31,500,23,1.149,114.94,1.149,1.52,5.29,11.26,37.93,1.85,29.26,17,7,3,0.412,41.18,0.412,0.618,17.65,0.0,64.71,56.2
JM Bairstow,426,24,636,23,1.493,149.3,1.493,1.85,5.4,23.94,40.38,2.5,25.79,266,424,10,1.594,159.4,1.594,1.907,3.76,27.82,40.98,26.47
